번호,구분,건축물명(상호),주소,석면건축물여부,안전관리인지정여부,연면적(제곱미터),석면(자재)면적(제곱미터)
1,어린이집,애플어린이집,"인천광역시 연수구 원인재로 59 (동춘동, 한양2차아파트)",해당,지정,293.61,236.78
2,어린이집,솔잎어린이집,인천광역시 연수구 옥련로97번길 13 (옥련동) 옥련동,해당,지정,397.74,366.79
3,어린이집,피터팬어린이집,"인천광역시 연수구 청량로 210, 관리동 1층 (옥련동, 쌍용아파트)",해당,지정,131.76,120.49
4,어린이집,미래클예능어린이집,"인천광역시 연수구 넘말로29번길 27, 미래클예능어린이집 (선학동)",해당,지정,284.97,69.61
5,어린이집,새싹어린이집,인천광역시 연수구 경원대로467번길 38 (선학동),해당,지정,266.84,444.9
6,공공건축물,동춘3동행정복지센터,인천광역시 연수구 원인재로 110 (동춘동),해당,지정,1434.91,459.4
7,어린이집,푸른세상어린이집,"인천광역시 연수구 원인재로 14, 관리동 1층 (동춘동, 무지개마을아파트)",해당,지정,202.3,172.82
8,어린이집,뜨락어린이집,"인천광역시 연수구 한나루로105번길 68, 관리동 (옥련동, 현대4차아파트)",해당,지정,163.66,140.1
9,어린이집,연화예술어린이집,"인천광역시 연수구 새말로 134, 세경아파트 관리동 2층 (연수동, 세경아파트)",해당,지정,303.75,259.7
10,불특정다수이용,학산학원,"인천광역시 연수구 먼우금로 92, 대광빌딩 4층 (동춘동)501호",해당,지정,846.88,357.06
11,불특정다수이용,대영빌딩,"인천광역시 연수구 경원대로467번길 3 (선학동)선학동, 선학펜탑독서실",해당,지정,571.94,459.64
12,불특정다수이용,주식회사 하임코리아,인천광역시 연수구 한나루로 183 (옥련동)옥련동,해당,지정,1947.7,537.8
13,기타,청량산교회,인천광역시 연수구 솔샘로43번길 42 (청학동)청학동,해당,지정,1450.98,330.7
14,어린이집,해맑은어린이집,"인천광역시 연수구 독배로 58 (옥련동, 현대2차아파트)",해당,지정,747,617.56
15,어린이집,하나키즈어린이집,"인천광역시 연수구 용담로 14 (청학동, 연수1차하나아파트)(하나아파트) 하나키즈어린이집",해당,지정,613.62,537.31
16,어린이집,오렌지 어린이집 ,인천광역시 연수구 능허대로151번길 23 (옥련동),해당,지정,654.98,524.3
17,어린이집,성호아파트(작은꽃어린이집),"인천광역시 연수구 솔샘로43번길 15 (청학동, 성호아파트)",해당,지정,994,540.65
18,어린이집,인성빌딩,인천광역시 연수구 비류대로256번길 7-9 (청학동),해당,지정,502.73,391.85
19,공공건축물,남동부수도사업소(연수수도사업소),인천광역시 연수구 앵고개로 183 (동춘동),해당,지정,4517.08,2639.07
20,공공건축물,인천광역시 여성의광장,인천광역시 연수구 앵고개로 183 (동춘동),해당,지정,6129.25,2188.96
21,공공건축물,송도하수종말처리장 송도오수중계펌프장,인천광역시 연수구 신송로118번길 21 (송도동),해당,지정,562.42,279.3
22,공공건축물,동춘1동 주민센터,인천광역시 연수구 먼우금로 117 (동춘동),해당,지정,1490,108.3
23,공공건축물,한국가스공사 인천기지본부,인천광역시 연수구 인천신항대로 960 (송도동),해당,지정,1873.85,5669
24,공공건축물,한국전력 인천지역본부 연수변전소,인천광역시 연수구 비류대로 300 (청학동),해당,지정,2369.1,2049.43
25,공공건축물,선학동행정복지센터,인천광역시 연수구 선학로 54 (선학동),해당,지정,1039.96,297.88
26,공공건축물,옥련1동 주민센터,인천광역시 연수구 비류대로186번길 14 (옥련동),해당,지정,1647.44,365.7
27,공공건축물,연수2동행정복지센터,인천광역시 연수구 원인재로 158 (연수동),해당,지정,1568.96,365.7
28,공공건축물,한국전력 인천지역본부 송도변전소,인천광역시 연수구 아카데미로51번길 45 (송도동),해당,지정,2672.4,224.3
29,공공건축물,동춘2동 주민센터,인천광역시 연수구 먼우금로 41 (동춘동),해당,지정,1540.64,312.63
30,공공건축물,연수3동 주민센터,인천광역시 연수구 원인재로 283 (연수동),해당,지정,1721.61,997.87
31,불특정다수이용,우성2차아파트 상가동,"인천광역시 연수구 원인재로 180 (연수동, 연수우성2차아파트)",해당,지정,7815.86,94.1
32,공공건축물,남인천농협,인천광역시 연수구 한나루로 188 (옥련동),해당,지정,3691.81,325.3
33,불특정다수이용,롯데마트 연수점,인천광역시 연수구 청능대로 87 (청학동),해당,지정,26003.71,596.61
34,기타,노인돌봄의 집,인천광역시 연수구 청능말로7번길 1 (청학동),해당,지정,653.44,352.62
35,불특정다수이용,"명신더블유한방병원(구 송도베스트요양병원 , 송도효자병원)",인천광역시 연수구 옥련로 29 (옥련동),해당,지정,3610,2545.47
36,불특정다수이용,브랫슬(실내주차장),인천광역시 연수구 벚꽃로 114 (연수동),해당,지정,4949,109.2
